Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Trialmap-total metric,30,44587,12967,77483,13081.87,0.000%,.01983,1.62,0.02,83626.9
trialmap-ongoing metric,30,2499,509,11966,3255.86,0.000%,.01994,0.35,0.02,18088.0
Clinical Trial Landscape-Map,30,47087,22978,79023,12284.12,0.000%,.01977,1.96,0.05,101714.9
clinicaltrialchart/generate-no. of trials,30,3908,3367,10915,1415.25,0.000%,.02002,0.02,0.03,1003.0
clinicaltrialchart/generate-enrollment_duration,30,4659,3352,15323,2933.23,0.000%,.01986,0.02,0.02,1003.0
trial-chart-polling-no of trials,181,1888,455,22572,4268.61,0.000%,.11728,0.10,0.14,894.7
No of Trial Chart Async API Polling,30,41609,16930,66789,12721.80,0.000%,.01938,0.10,0.14,5397.9
trial-chart-polling-enrollment_duration,38,2998,472,26103,5772.24,0.000%,.02489,0.02,0.03,885.9
enrollment duration polling service,30,10143,5477,31121,6304.32,0.000%,.01958,0.02,0.03,1122.2
display-trial-chart-no_of_trials,30,1996,458,14928,3597.99,0.000%,.01954,0.02,0.02,1281.0
display-trial-chart-enrollment_duration,30,2471,442,16825,3914.36,0.000%,.01946,0.04,0.02,2052.0
chart display,30,4468,987,21400,6378.40,0.000%,.01945,0.06,0.05,3333.0
Clinical Trial Landscape- chart,30,28228,11008,73126,17498.46,0.000%,.01896,0.22,0.27,11859.1
trialtimeline/generate,30,6189,3369,24864,5947.82,0.000%,.01940,0.02,0.02,1003.0
trial-timeline-polling,345,2714,447,40530,5589.30,0.000%,.21299,0.19,0.26,895.8
timeline polling service,30,88801,67233,122236,12929.27,0.000%,.01846,0.19,0.26,10301.5
display-trial-timeline,30,3373,1268,16866,3199.11,0.000%,.01922,80.80,0.02,4306058.2
timeline display,30,3383,1280,16877,3198.71,0.000%,.01922,80.80,0.02,4306058.2
 clinical Trial Landscape timeline ,30,40778,12130,81768,24070.51,0.000%,.01838,77.51,0.30,4317362.7
trialdetails/generate,30,5781,3362,24144,5154.23,0.000%,.01904,0.02,0.02,1003.0
trial-detail-polling,862,3173,455,40595,6412.93,0.000%,.49120,0.43,0.59,896.5
trial detail polling service,30,235068,182097,316762,43246.52,0.000%,.01705,0.43,0.59,25759.8
display-trial-detail,30,6379,1881,35567,7869.91,0.000%,.01986,0.10,0.02,5115.5
trial detail display,30,6379,1881,35567,7869.91,0.000%,.01986,0.10,0.02,5115.5
Clinical Trial landscape detail ,30,247231,193544,322108,39843.51,0.000%,.01693,0.53,0.63,31878.3
drug/generate,30,8182,3385,29811,6696.44,0.000%,.01953,0.02,0.02,1003.0
drug-dropdown-search-country,30,3285,482,12014,3892.39,0.000%,.01949,0.02,0.03,1217.0
drug-dropdown-search-drg_nm,30,4851,490,28494,6752.15,0.000%,.01923,0.02,0.03,1086.0
drug-status,30,7146,476,35519,10204.02,0.000%,.01909,0.03,0.04,1748.0
drug-map-polling,30,7243,495,36747,10552.04,0.000%,.01886,0.02,0.02,883.0
drug landscape map polling,30,12257,5507,41759,10550.01,0.000%,.01880,0.02,0.02,883.0
display-drug-map,30,4631,467,40608,8860.34,0.000%,.01840,0.18,0.02,10133.0
drug map display-detail ,30,4631,467,40608,8860.34,0.000%,.01840,0.18,0.02,10133.0
Drug landscape map ,30,35341,6092,127870,31239.49,0.000%,.01828,0.29,0.15,16070.0
drug-patient-detail,30,20095,4511,44740,10519.59,0.000%,.01835,0.06,0.02,3099.0
drug detail ,30,20095,4511,44740,10519.59,0.000%,.01835,0.06,0.02,3099.0
countrycount-site metric,30,62346,42201,83470,11448.97,0.000%,.01767,0.16,0.02,9052.0
Country Landscape- map,30,62346,42201,83470,11448.97,0.000%,.01767,0.16,0.02,9052.0
display-country-landscape,30,5864,518,23055,6753.42,0.000%,.01828,0.08,0.02,4459.0
country-dropdown,30,6564,481,46184,11012.69,0.000%,.01790,0.06,0.02,3183.0
countrylandscape-detail-drugprofile,30,5903,724,38347,9758.33,0.000%,.01755,0.04,0.02,2188.0
countrylandscape-detail-site-investigator,30,78047,26757,174635,38860.69,0.000%,.01713,0.02,0.02,1037.0
countrylandscape-detail-clinical-trial,30,7193,685,35605,8959.01,0.000%,.01807,0.07,0.02,3864.0
Country detail display,30,103573,50419,177366,34648.47,0.000%,.01677,0.24,0.11,14731.0
sitemap,30,47080,27114,64231,9691.83,0.000%,.01766,14.63,0.02,848409.0
generate-experience-category-site-new,30,10480,3362,45394,10052.25,0.000%,.01761,0.02,0.02,1003.0
Site landscape experience-generate,30,10480,3362,45394,10052.25,0.000%,.01761,0.02,0.02,1003.0
check-async-status-Site experience trial async service,655,8109,639,47974,11695.76,0.000%,.33774,0.29,0.40,866.3
Site experience  async service,30,175332,83826,324483,61150.53,0.000%,.01682,0.20,0.28,12415.7
Site map,30,161108,84481,214903,29719.68,0.000%,.01641,13.81,0.32,861827.7
experience-category-site-old,30,54190,30152,78069,13629.48,0.000%,.01898,0.10,0.02,5306.8
experience-metrics/trial-category/generate,30,15535,3477,43293,12934.28,0.000%,.01992,0.02,0.02,1003.0
Site experience trial async service,30,111074,57464,261338,44012.42,0.000%,.01880,0.12,0.17,6498.0
sitemetric-trial,30,11286,2370,48080,10238.83,0.000%,.02242,0.05,0.03,2316.0
Site experience metric,30,154525,111482,203920,23243.28,0.000%,.01785,0.26,0.22,15123.8
site-tiering/experience,30,49885,30075,68253,10970.24,0.000%,.02200,0.12,0.03,5521.3
Site Performance Grade experience,30,49885,30075,68253,10970.24,0.000%,.02200,0.12,0.03,5521.3
site-tiering/performance,30,53304,27719,87385,16336.22,0.000%,.02246,0.15,0.03,6990.6
Site Performance Grade experience performance,30,53304,27719,87385,16336.22,0.000%,.02246,0.15,0.03,6990.6
sites-detail,30,22921,8196,50896,11174.22,0.000%,.02382,0.07,0.03,3217.0
Site details,30,22921,8196,50896,11174.22,0.000%,.02382,0.07,0.03,3217.0
sitemap-inv,30,38943,17989,67567,14202.68,0.000%,.02389,0.64,0.03,27570.0
generate-experience-category-investigator-new,30,13835,3384,41150,10758.93,0.000%,.02465,0.02,0.03,1003.0
check-async-status -investigator experience polling,257,9438,646,62337,12786.25,0.000%,.20660,0.17,0.24,866.4
Investigator experience async,30,123757,46136,216679,34769.54,0.000%,.02402,0.17,0.24,7421.7
Investigator map,30,133633,27836,197739,39994.37,0.000%,.02299,0.81,0.29,35994.7
investigator/experience-metric-generate,30,12952,3397,41959,12558.49,0.000%,.02897,0.03,0.04,1003.0
check-async-status-Investigator trial async polling,135,7756,652,52221,11712.65,0.000%,.12928,0.11,0.15,866.7
Investigator trial async polling,30,57442,23067,92018,18379.71,0.000%,.02859,0.11,0.15,3900.0
Investigator experiece display,30,5883,454,34885,9555.14,0.000%,.03132,0.08,0.04,2646.0
Investigator experience metric,30,53740,6925,152927,33194.24,0.000%,.02832,0.21,0.22,7549.0
investigator-tiering/experience,30,42923,9247,78036,18508.04,0.000%,.03104,0.15,0.04,5038.0
Investigator performance grade experience,30,42923,9247,78036,18508.04,0.000%,.03104,0.15,0.04,5038.0
investigator-tiering/performance,30,44071,9176,83234,21008.33,0.000%,.03322,0.19,0.05,5841.0
Investigator performance grade- performance,30,44071,9176,83234,21008.33,0.000%,.03322,0.19,0.05,5841.0
investigator-detail,30,37004,9632,76679,20820.87,0.000%,.03533,0.15,0.04,4417.0
Investigator detail display ,30,37004,9632,76679,20820.87,0.000%,.03533,0.15,0.04,4417.0
TOTAL,9704,14417,0,606758,47327.36,0.000%,3.05542,162.19,10.62,54356.8
