Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
trial-chart-polling-enrollment_duration,10,742,466,1477,276.99,0.000%,.02435,0.02,0.03,774.0
enrollment duration polling service,10,5753,5473,6486,275.18,0.000%,.02406,0.02,0.03,774.0
display-trial-chart-no_of_trials,10,619,485,987,152.66,0.000%,.02433,0.03,0.03,1133.0
display-trial-chart-enrollment_duration,10,544,468,727,73.96,0.000%,.02433,0.04,0.03,1827.0
chart display,10,1164,962,1494,137.90,0.000%,.02430,0.07,0.06,2960.0
Clinical Trial Landscape- chart,10,9277,8881,10111,373.77,0.000%,.02329,0.15,0.18,6453.6
trialtimeline/generate,10,3333,3297,3392,24.68,0.000%,.02417,0.02,0.03,894.0
trial-timeline-polling,73,685,476,2475,268.66,0.000%,.14243,0.11,0.17,786.1
timeline polling service,10,41561,12138,118395,29137.87,0.000%,.01932,0.11,0.17,5738.4
display-trial-timeline,10,1228,1019,1537,155.04,0.000%,.02084,87.40,0.03,4293690.7
timeline display,10,1228,1021,1537,154.65,0.000%,.02084,87.40,0.03,4293690.7
 clinical Trial Landscape timeline ,10,9568,6559,17871,3149.46,0.000%,.01915,80.43,0.21,4300323.1
trialdetails/generate,10,3381,3294,3770,135.34,0.000%,.02074,0.02,0.02,894.0
trial-detail-polling,156,649,480,1638,179.14,0.000%,.29425,0.23,0.35,787.1
trial detail polling service,10,88239,56369,134313,22381.82,0.000%,.01869,0.22,0.35,12278.8
display-trial-detail,10,2099,1951,2497,188.89,0.000%,.02295,0.11,0.03,5003.7
trial detail display,10,2099,1951,2497,188.89,0.000%,.02295,0.11,0.03,5003.7
Clinical Trial landscape detail ,10,93722,61684,139559,22302.07,0.000%,.01850,0.33,0.39,18176.5
drug/generate,10,3347,3294,3433,41.82,0.000%,.02288,0.02,0.03,894.0
drug-dropdown-search-country,10,637,530,753,70.61,0.000%,.02303,0.02,0.03,1108.0
drug-dropdown-search-drg_nm,10,598,511,854,110.08,0.000%,.02304,0.02,0.04,977.0
drug-status,10,634,526,729,56.03,0.000%,.02304,0.04,0.04,1639.0
drug-map-polling,10,567,502,672,65.14,0.000%,.02303,0.02,0.03,774.0
drug landscape map polling,10,5573,5495,5689,68.55,0.000%,.02277,0.02,0.03,774.0
display-drug-map,10,609,471,700,71.06,0.000%,.02303,0.23,0.03,10027.0
drug map display-detail ,10,609,471,700,71.06,0.000%,.02303,0.23,0.03,10027.0
Drug landscape map ,10,6394,6105,6715,183.95,0.000%,.02248,0.34,0.19,15419.0
drug-patient-detail,10,3990,2405,7088,1735.53,0.000%,.02271,0.07,0.03,2973.0
drug detail ,10,3990,2405,7088,1735.53,0.000%,.02271,0.07,0.03,2973.0
countrycount-site metric,10,23581,6485,35748,8209.39,0.000%,.02167,0.19,0.02,8968.0
Country Landscape- map,10,23581,6485,35748,8209.39,0.000%,.02167,0.19,0.02,8968.0
display-country-landscape,10,610,491,725,84.06,0.000%,.02246,0.10,0.03,4441.0
country-dropdown,10,558,487,718,78.87,0.000%,.02246,0.07,0.03,3101.0
countrylandscape-detail-drugprofile,10,872,769,939,44.91,0.000%,.02244,0.05,0.03,2079.0
countrylandscape-detail-site-investigator,10,23534,17592,27618,2909.95,0.000%,.02129,0.02,0.03,928.0
countrylandscape-detail-clinical-trial,10,1066,731,1996,353.95,0.000%,.02208,0.08,0.03,3755.0
Country detail display,10,26642,20794,30556,2794.85,0.000%,.02116,0.30,0.14,14304.0
sitemap,10,40848,20239,180106,46682.32,10.000%,.01583,0.40,0.02,25715.5
generate-experience-category-site-new,10,3318,3284,3366,21.89,0.000%,.01665,0.01,0.02,894.0
Site landscape experience-generate,10,3318,3284,3366,21.89,0.000%,.01665,0.01,0.02,894.0
check-async-status-Site experience trial async service,843,630,456,8670,497.93,0.000%,1.05899,0.78,1.24,757.1
Site experience  async service,10,380733,83499,610298,213004.75,0.000%,.01349,0.67,1.07,51251.9
Site map,10,85855,31887,217554,50296.41,10.000%,.01283,0.98,1.05,77861.4
experience-category-site-old,10,16008,10603,20106,3070.15,0.000%,.02236,0.12,0.03,5518.1
experience-metrics/trial-category/generate,10,5239,3287,8990,2137.72,0.000%,.02302,0.02,0.03,894.0
Site experience trial async service,10,94589,27906,285226,91865.46,0.000%,.02179,0.27,0.41,12569.2
sitemetric-trial,10,3855,3181,8921,1690.63,0.000%,.04747,0.10,0.06,2207.0
Site experience metric,10,36556,30095,54559,8357.35,0.000%,.02067,0.43,0.46,21188.3
site-tiering/experience,10,17498,9646,29248,6004.88,0.000%,.04334,0.23,0.06,5348.0
Site Performance Grade experience,10,17498,9646,29248,6004.88,0.000%,.04334,0.23,0.06,5348.0
site-tiering/performance,10,19353,13253,28992,4402.56,0.000%,.04170,0.28,0.06,6879.0
Site Performance Grade experience performance,10,19353,13253,28992,4402.56,0.000%,.04170,0.28,0.06,6879.0
sites-detail,10,7641,4224,10136,1874.92,0.000%,.04234,0.13,0.05,3108.0
Site details,10,7641,4224,10136,1874.92,0.000%,.04234,0.13,0.05,3108.0
sitemap-inv,10,21660,20481,24066,1106.84,0.000%,.03999,1.08,0.04,27620.0
generate-experience-category-investigator-new,10,4154,3270,8409,1595.10,0.000%,.04315,0.04,0.06,894.0
check-async-status -investigator experience polling,192,858,446,11121,1184.48,0.000%,.64189,0.47,0.72,757.2
Investigator experience async,10,112614,61100,153414,31469.03,0.000%,.03288,0.47,0.71,14537.4
Investigator map,10,42297,31028,54292,7274.95,0.000%,.03038,1.28,0.73,43051.4
investigator/experience-metric-generate,10,3619,3308,6163,848.43,0.000%,.05531,0.05,0.07,894.0
check-async-status-Investigator trial async polling,56,945,471,9353,1421.88,0.000%,.27517,0.20,0.31,757.5
Investigator trial async polling,10,33338,26454,39569,4741.72,0.000%,.04796,0.20,0.30,4242.2
Investigator experiece display,10,590,490,959,135.92,0.000%,.05877,0.14,0.07,2524.2
Investigator experience metric,10,9505,6862,17704,3057.34,0.000%,.04708,0.35,0.41,7660.4
investigator-tiering/experience,10,16585,11437,21569,2639.08,0.000%,.05383,0.26,0.07,4929.0
Investigator performance grade experience,10,16585,11437,21569,2639.08,0.000%,.05383,0.26,0.07,4929.0
investigator-tiering/performance,10,16556,11447,20237,2619.87,0.000%,.05695,0.32,0.08,5732.0
Investigator performance grade- performance,10,16556,11447,20237,2619.87,0.000%,.05695,0.32,0.08,5732.0
investigator-detail,10,18204,11798,21245,2766.46,0.000%,.05944,0.25,0.07,4308.0
Investigator detail display ,10,18204,11798,21245,2766.46,0.000%,.05944,0.25,0.07,4308.0
TOTAL,3856,7124,0,677754,42034.35,0.052%,1.73597,70.24,6.13,41433.4
