Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Investigator experience async,4,82601,55815,95220,15640.32,0.000%,.03415,0.29,0.44,8708.5
Investigator map,4,68569,37068,83716,18521.19,0.000%,.02342,0.86,0.36,37396.5
investigator/experience-metric-generate,4,3747,3451,4088,267.99,0.000%,.12768,0.11,0.15,894.0
check-async-status-Investigator trial async polling,16,946,517,1617,311.90,0.000%,.38761,0.29,0.44,757.8
Investigator trial async polling,4,23819,18891,28954,3566.28,0.000%,.08641,0.26,0.39,3031.0
Investigator experiece display,4,877,635,1346,280.67,0.000%,.22115,0.54,0.26,2504.0
Investigator experience metric,4,8411,7501,9436,724.41,0.000%,.07865,0.49,0.54,6429.0
investigator-tiering/experience,4,9337,8734,10123,510.10,0.000%,.14530,0.70,0.20,4926.0
Investigator performance grade experience,4,9337,8734,10123,510.10,0.000%,.14530,0.70,0.20,4926.0
investigator-tiering/performance,4,9796,7908,12967,1981.51,0.000%,.12752,0.71,0.18,5729.0
Investigator performance grade- performance,4,9796,7908,12967,1981.51,0.000%,.12752,0.71,0.18,5729.0
investigator-detail,4,13606,10107,21355,4514.57,0.000%,.08940,0.38,0.11,4308.0
Investigator detail display ,4,13606,10107,21355,4514.57,0.000%,.08939,0.38,0.11,4308.0
TOTAL,2117,5950,0,696749,32011.44,1.795%,.33894,12.40,0.88,37471.2
